Category,Product Name,Sentiment,Emotion,Customer Review,topic,theme,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Positive,Happy,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,7,Good / works / authentic product,Jakarta Utara,80000,4.8,3982,1890,5
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Positive,Happy,barang udah sampai ya gan dan berfungsi. terima kasih,5,Thanks & general praise,Jakarta Utara,80000,4.8,3982,1890,5
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Positive,Happy,barang mantap sesuai deskripsi laptop jadi adem n sejuk,2,Good / works / authentic product,Kota Depok,55000,4.8,13900,6671,5
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Positive,Happy,"produk saya terima dengan kondisi baik, terima kasih ^^",5,Thanks & general praise,Kota Depok,55000,4.8,13900,6671,5
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Positive,Happy,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",1,Fast delivery,Kota Depok,55000,4.8,13900,6671,5
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Positive,Happy,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",3,"Responsive, friendly seller",Kota Depok,55000,4.8,13900,6671,5
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Positive,Happy,mantab barang nya oke punya,2,Good / works / authentic product,Jakarta Barat,74900,4.7,3713,2153,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Positive,Happy,"pengiriman cepat, packing rapi, kualitas mantap",1,Fast delivery,Jakarta Barat,112000,4.9,5988,2969,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Positive,Happy,silent dan bagus untuk pekerjaan ringan,2,Good / works / authentic product,Jakarta Barat,112000,4.9,5988,2969,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Positive,Happy,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,1,Fast delivery,Jakarta Barat,112000,4.9,5988,2969,5
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Positive,Happy,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",13,Thanks & general praise,Jakarta Barat,112000,4.9,5988,2969,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Positive,Happy,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",6,Affordable / good value,Kota Surabaya,385000,5.0,2716,1843,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Positive,Happy,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,1,Fast delivery,Kota Surabaya,385000,5.0,2716,1843,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Positive,Happy,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",6,Affordable / good value,Kota Surabaya,385000,5.0,2716,1843,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Positive,Happy,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,3,"Responsive, friendly seller",Kota Surabaya,385000,5.0,2716,1843,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Positive,Happy,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",10,Safe & neat packaging,Kota Surabaya,385000,5.0,2716,1843,5
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Positive,Happy,Sangat presisi dan pas,2,Good / works / authentic product,Jakarta Utara,15000,4.9,690,338,5
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Positive,Happy,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",3,"Responsive, friendly seller",Jakarta Utara,15000,4.9,690,338,5
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Positive,Happy,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",9,"Responsive, friendly seller",Jakarta Utara,15000,4.9,690,338,5
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Positive,Happy,Mantap barangnya cepet sampai dan enak digunainnya!,2,Good / works / authentic product,Jakarta Barat,365000,5.0,2554,1396,5
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Positive,Happy,"Barang bagus,oke, cepat pengirimannya juga",1,Fast delivery,Jakarta Barat,365000,5.0,2554,1396,5
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Positive,Happy,"Pengiriman cepat, seller responsif ??",3,"Responsive, friendly seller",Jakarta Barat,365000,5.0,2554,1396,5
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Positive,Happy,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,3,"Responsive, friendly seller",Jakarta Utara,53500,4.9,5449,2369,5
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Positive,Happy,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",1,Fast delivery,Jakarta Utara,53500,4.9,5449,2369,5
Computers and Laptops,[FS] Logitech MK275 Wireless Keyboard Mouse Combo,Positive,Love,Bagus banget keyboardnya. Packing sangat aman karena double kardus. Warna juga keren.,15,Good / works / authentic product,Jakarta Timur,200000,4.9,3186,1525,5
Computers and Laptops,Samoon Ace USB Cooling pad / Coolpad / Cooler / Kipas Pendingin Laptop,Positive,Love,"AAAA BAGUS BANGET PENGIRIMANNYA CEPATT DAN AMAN JUGA PACKAGING NYA, BISA NYALA JUGA TDI UDH DICOBA,, BELI DGN HARGA RP0 SENENGGGBANGETT",4,Safe & neat packaging,Kota Malang,46000,4.7,1311,500,5
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,Positive,Love,"Terima Kasihh Boss, Mantappss.. Smoga Lancarr n Berkah Rezekinya..Smngttt Boss ??????",5,Thanks & general praise,Jakarta Pusat,230000,4.9,1408,721,5
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Positive,Love,barangnya buwaguusss.... sesuai pesanan.... angin nya kencang... seperti angin puting beliung.... laptop ademmmm benerrr,12,Repeat order / as ordered,Kota Surabaya,385000,5.0,2716,1843,5
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Positive,Love,"mantap bgt, kualitas beneran sama kaya webcam sejutaan",15,Good / works / authentic product,Jakarta Barat,188000,4.9,3451,1651,5
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Positive,Love,"sampai dengan selamat, mulus dan berfungsi sempurna. Seller mau sabar dikonsultasikan dan mengemas dengan aman. Recommended",3,"Responsive, friendly seller",Jakarta Barat,188000,4.9,3451,1651,5
Computers and Laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,Positive,Love,"Proses pesanan dan pengiriman barang cukup cepat, produk sesuai deskripsi, seller responsif, sukses dan tetap jaga protokol kesehatan ya seller! Terima kasih.",3,"Responsive, friendly seller",Jakarta Pusat,379000,4.9,3185,1829,5
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Positive,Love,"Penjual ramah, barangnya bagus, sesuai dgn pesanan, packing rapi, padahal cmn pesan 1 ??????????....",3,"Responsive, friendly seller",Jakarta Pusat,75900,4.9,6754,3507,5
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,Positive,Love,"Selamat Siang Bos, pesanan sudah saya terima. Belum di Pasang / di Coba. Packing sangat RAPI dan aman. Product MANTAP. Pokoknya TOP MARKOTOP. PELAYANAN sangat OKE. TOKO sangat RECOMENDED sekali. Makasih banyak atas semuanya. Salam Sukses, Sehat dan Sejahtera Selalu. Aamiin",5,Thanks & general praise,Jakarta Selatan,308000,4.9,3168,813,5
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,Positive,Love,Recommended Seller??????,3,"Responsive, friendly seller",Jakarta Selatan,308000,4.9,3168,813,5
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,Positive,Love,TOP BGT,2,Good / works / authentic product,Jakarta Selatan,308000,4.9,3168,813,5
Computers and Laptops,[BARU] RAM / MEMORY SAMSUNG PC DDR3 8GB,Positive,Love,"Asli samsung, pelayanan sangat baik",15,Good / works / authentic product,Jakarta Selatan,308000,4.9,3168,813,5
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Positive,Love,mantap laptop jd adem ga cpt panas ????,0,Material & comfort,Jakarta Selatan,85000,4.9,7834,4099,5
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Positive,Love,"Memory sdh sy pasang. Ada 4 keping 8 GB DDR3, semua berfungsi dg baik. Pengiriman lumayan cepat. Recommended seller. ??",1,Fast delivery,Jakarta Selatan,85000,4.9,7834,4099,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Positive,Love,"waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe",6,Affordable / good value,Jakarta Pusat,82500,4.9,35900,6630,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Positive,Love,MANTAB. RESPON CEPAT. PESANAN TIDAK MENGECEWAKAN. REKOMENDED BUAT BELANJA SPARE PART. TERIMA KASIH ATAS KERJA SAMANYA,9,"Responsive, friendly seller",Jakarta Pusat,82500,4.9,35900,6630,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Positive,Love,"recommended, fast print fast response",9,"Responsive, friendly seller",Jakarta Pusat,82500,4.9,35900,6630,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Positive,Love,"Gila...pengiriman cepet banget..dr surabaya ke bogor,fast respont,barang ok,sesuai banget,packing rapi...recomended seller euy...??????????Ma kasih Gan..thanks toped",1,Fast delivery,Jakarta Pusat,82500,4.9,35900,6630,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Positive,Love,"barangnya sudah sampai, cepet banget. recommended lah. tengkyuuu",9,"Responsive, friendly seller",Jakarta Pusat,82500,4.9,35900,6630,5
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Positive,Love,"Recommended Seller!! Respon cepat, pengiriman cukup cepat...",3,"Responsive, friendly seller",Jakarta Pusat,82500,4.9,35900,6630,5
Computers and Laptops,Razer Hammerhead Pro V2,Positive,Love,Earcupnya lembut. Best value headset. Sound mantap. Nyaman dan praktis tinggal plug and play. mantaaaap laaah buat gamer,11,Thanks & general praise,Jakarta Barat,975000,4.9,5909,3972,5
Computers and Laptops,RAM KINGSTON HYPERX FURY DDR4 8GB 2666MHz 21300 GAMING RAM PC DDR4 8GB,Positive,Love,"Respon cepat, barang original terbaik recomended packing baik. Sukses selalu ya",9,"Responsive, friendly seller",Jakarta Selatan,425000,4.9,5145,1970,5
Computers and Laptops,Razer Hammerhead Pro V4,Positive,Love,Kualitas Suara OK banget apalagi dengan harga yang terjangkau Barang pun dijamin ori karena sudah terdaftar di Website Razer langsung Pokoknya bagus lah bassnya juga kerasa,6,Affordable / good value,Jakarta Barat,975000,4.9,5909,3972,5
Computers and Laptops,dbE GM190 7.1 Virtual Surround Gaming Headphone,Positive,Love,"10/10, kualitas produk sangat baik dengan harga yang tertera. nyaman dipakai, suara keras dan 7.1 berfungsi dengan baik. definitely would recommend this.",15,Good / works / authentic product,Jakarta Selatan,195000,4.9,5421,3396,5
Computers and Laptops,Antivirus Kaspersky Total Security 1 Device 1 Tahun - 1 Device 1 Th,Positive,Love,"Mantaaap. Tanggap banget, fast respon. Juossssssss",9,"Responsive, friendly seller",Jakarta Barat,125000,5.0,4503,1854,5
Computers and Laptops,dbE GM190 7.1 Virtual Surround Gaming Headphone,Positive,Love,"Barangnya bagus bangett, dengan harga yang affordable dengan kualitas yang lumayan gokil sihh",6,Affordable / good value,Jakarta Selatan,195000,4.9,5421,3396,5
Computers and Laptops,Logitech Wireless Mouse & Keyboard Bundle Combo MK220 - Hitam,Positive,Love,mantappppp. recommended keyboard ma mousenya ????????????,15,Good / works / authentic product,Jakarta Barat,235000,4.8,7713,2978,5
Computers and Laptops,Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Pink,Positive,Love,mantab minnn pengiriman jam 5 sore masih di gasss ????,1,Fast delivery,Jakarta Pusat,1299000,4.9,927,571,5
Computers and Laptops,MOUSEPAD GAMING FANTECH FIREFLY MPR800s RGB,Positive,Love,Mantap banget kualitasnya gak usah diragukan lagi,2,Good / works / authentic product,Jakarta Barat,399000,5.0,3941,2281,5
Computers and Laptops,MOUSEPAD GAMING FANTECH FIREFLY MPR800s RGB,Positive,Love,"Cakep produk nya, rekomen banget nih, sesuai deskripsi",7,Good / works / authentic product,Jakarta Barat,399000,5.0,3941,2281,5
Computers and Laptops,MOUSEPAD GAMING FANTECH FIREFLY MPR800s RGB,Positive,Love,"packing rapih, fast response, dan rgbnya juga bagus ??sangat di rekomendasikan 10/10",9,"Responsive, friendly seller",Jakarta Barat,399000,5.0,3941,2281,5
Computers and Laptops,Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Pink,Positive,Love,"As always gapernah gagal belanja sini, thanks ggs",5,Thanks & general praise,Jakarta Pusat,1299000,4.9,927,571,5
Computers and Laptops,Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Pink,Positive,Love,"cakep bet dah, mau duduk aja di kursi ini sampe ga mau berdiri lagi rasanya",15,Good / works / authentic product,Jakarta Pusat,1299000,4.9,927,571,5
Computers and Laptops,AIRO AIO24X 144Hz 1080P 24 Inch IPS Gaming Monitor - AIO24X,Positive,Love,"Overall memuaskan, layar bagus walau menurut saya IPSnya ga sebagus IPS TV, warna sudah bagus ga oversaturated, brightness sangat terang, buat di pakai dalam gelap tetap silau biar brightness udah 0. Layar bisa di putar, cm di kaki saja gampang kedorong, refresh rate terbukti cepat, buat fps sudah mantab. Kalau asa softwarenya mungkin lebih bagus lagi, jd setting ga perlu lewat tombol di belakang. Dpt kabel display port, desain keren hampir bezelless, nice.",15,Good / works / authentic product,Jakarta Timur,2799000,4.9,933,615,5
Computers and Laptops,AIRO AIO24X 144Hz 1080P 24 Inch IPS Gaming Monitor - AIO24X,Positive,Love,"Love it, product bagus. Worth it. Thank you????",2,Good / works / authentic product,Jakarta Timur,2799000,4.9,933,615,5
Computers and Laptops,AIRO AIO24X 144Hz 1080P 24 Inch IPS Gaming Monitor - AIO24X,Positive,Love,"AIRO ini punya customer service yang super duper bagus, kapanpun saya punya pertanyaan, mereka selalu jawab dengan okey! Produknya pun bagus! Puas banget! Love AIRO??",3,"Responsive, friendly seller",Jakarta Timur,2799000,4.9,933,615,5
Computers and Laptops,Windows 10 Pro Original Lisensi - INVOICE,Positive,Love,"barangnya mantap, berkualitas, kokoh, bergaransi, seller ramah, pokoknya mantap banget",3,"Responsive, friendly seller",Kota Bekasi,18000,4.9,11000,4765,5
Computers and Laptops,Windows 10 Pro Original Lisensi - INVOICE,Positive,Love,"layanan sangat memuaskan, seller rekomended",3,"Responsive, friendly seller",Kota Bekasi,18000,4.9,11000,4765,5
Computers and Laptops,Huion H430P Graphic Drawing Tablet OSU Alternati H420 H640P HS64 S640 - Tablet,Positive,Love,"luar biasa, packing di jamin aman, pakai bubblewrap. cepet banget prosesnya. senin malam cekout, paginya kirim, hari ini rabu sore sampai. sangat cepat. sangat puas. terimakasih, sukses selalu yah tech cube",8,Safe & neat packaging,Jakarta Barat,322000,5.0,7486,3723,5
Computers and Laptops,Huion H430P Graphic Drawing Tablet OSU Alternati H420 H640P HS64 S640 - Tablet,Positive,Love,"mantap sekali sangat recommended, respon seller bintang 5 baru pesan tadi malam hari ini langsung datang",13,Thanks & general praise,Jakarta Barat,322000,5.0,7486,3723,5
Toys and Hobbies,"500 butir bola gotri 8mm ketapel bola besi - 8mm, 500 butir",Positive,Happy,"barang sesuai, bagus dan cepat sampai",2,Good / works / authentic product,Kab. Tegal,50000,4.9,550,357,5
Toys and Hobbies,"500 butir bola gotri 8mm ketapel bola besi - 8mm, 500 butir",Positive,Happy,produk mantapp????,7,Good / works / authentic product,Kab. Tegal,50000,4.9,550,357,5
Toys and Hobbies,karet ketapel 6mm 3060 slingshot,Positive,Happy,barang sudah sampai. barang bagus... Sesuai dengan deskripsi produk.,7,Good / works / authentic product,Kab. Tegal,6000,4.9,2370,402,5
Toys and Hobbies,karet ketapel 6mm 3060 slingshot,Positive,Happy,ukuran karet sesuai . Mantul...?? dan waktu pengiriman lebih cepat dari jadwalnya... mantap dah... is the best..??,1,Fast delivery,Kab. Tegal,6000,4.9,2370,402,5
Toys and Hobbies,Gangsing Beyblade Tornado Burst StormGyro Besi - Bayblade Gasing Metal - Green Forest,Positive,Happy,pengiriman cepat.. barang kondisi bagus.. makasih ya??,5,Thanks & general praise,Jakarta Pusat,35000,4.8,2547,937,5
Toys and Hobbies,Gangsing Beyblade Tornado Burst StormGyro Besi - Bayblade Gasing Metal - Green Forest,Positive,Happy,"Barang sesuai pesanan, kondisi berfungsi dengan baik. Seller responsif proses kirim cepat. Recommended!!!",3,"Responsive, friendly seller",Jakarta Pusat,35000,4.8,2547,937,5
Toys and Hobbies,Gangsing Beyblade Tornado Burst StormGyro Besi - Bayblade Gasing Metal - Green Forest,Positive,Happy,barangnya bagus!! Kualitas Product Bagus. Harga terjangkau!. Recomended.,6,Affordable / good value,Jakarta Pusat,35000,4.8,2547,937,5
Toys and Hobbies,"MAINAN EDUKATIF ANAK MERONCE MANIK KELERENG MUTIARA, 750PCS PROMO! - CRYSTAL",Positive,Happy,"brg sampai, packing oke, cocok bt kado, ada bonus dompet koin??",6,Affordable / good value,Jakarta Barat,65000,4.9,635,603,5
Toys and Hobbies,Flatband Slingshot Ketapel Tali Rubber Slingshot Karet Tarikan Ketapel - 1. Grey,Positive,Happy,Bisa melempar jauh. Sesuai dengan deskripsi produk. Selalu ready stock!. Packing rapi ??.,10,Safe & neat packaging,Kota Tangerang Selatan,6100,4.9,4363,627,5
Toys and Hobbies,Flatband Slingshot Ketapel Tali Rubber Slingshot Karet Tarikan Ketapel - 1. Grey,Positive,Happy,"barang bagus sesuai harapan,pouchnya mantap cukup bagus.service seller ok buanget.terima kasih barang sesuai iklan",5,Thanks & general praise,Kota Tangerang Selatan,6100,4.9,4363,627,5
Toys and Hobbies,Flatband Slingshot Ketapel Tali Rubber Slingshot Karet Tarikan Ketapel - 1. Grey,Positive,Happy,"pengiriman cepat, barang bagus packing rapi, terimakasih",1,Fast delivery,Kota Tangerang Selatan,6100,4.9,4363,627,5
Toys and Hobbies,Gasing StormyGyro Versi 2019 (Mirip Beyblade) - B44 Biru BB55,Positive,Happy,Kualitas Product Bagus. Material bagus. Harga terjangkau!. Recomended.,6,Affordable / good value,Jakarta Utara,21000,4.9,2709,653,5
Toys and Hobbies,Gasing StormyGyro Versi 2019 (Mirip Beyblade) - B44 Biru BB55,Positive,Happy,Kualitas Product Bagus. Material bagus. Recomended. Harga terjangkau!.,6,Affordable / good value,Jakarta Utara,21000,4.9,2709,653,5
Toys and Hobbies,Gasing StormyGyro Versi 2019 (Mirip Beyblade) - B44 Biru BB55,Positive,Happy,"baru juga dipesan langsung di proses,penjual ramah beyblade berputar kencang seperti dan juga harga lebih murah dari toko laen",6,Affordable / good value,Jakarta Utara,21000,4.9,2709,653,5
Toys and Hobbies,UNO Card,Positive,Happy,Kartu nya lengkap. Harga Kompetitif. Seru bgt game nya!.,15,Good / works / authentic product,Kota Tangerang,9600,4.7,2610,547,5
Toys and Hobbies,UNO Card,Positive,Happy,Kartu nya lengkap Seru bgt game nya! Harga Kompetitif,15,Good / works / authentic product,Kota Tangerang,9600,4.7,2610,547,5
Toys and Hobbies,UNO Card,Positive,Happy,"Terima kasih, pesanan sesuai",5,Thanks & general praise,Kota Tangerang,9600,4.7,2610,547,5
Toys and Hobbies,"DOMINO BATU WARNA SPEEDS + BOX KAYU COKLAT TEBAL 1,5 cm LX 047-04",Positive,Happy,Kartu nya lengkap. packing baik. model terbaru. ready stock.,10,Safe & neat packaging,Kota Surabaya,299500,4.7,791,281,5
Toys and Hobbies,"DOMINO BATU WARNA SPEEDS + BOX KAYU COKLAT TEBAL 1,5 cm LX 047-04",Positive,Happy,barang sesuai deskripsi. pengiriman cepat. recommended seller.,3,"Responsive, friendly seller",Kota Surabaya,299500,4.7,791,281,5
Toys and Hobbies,The Werewolf Game / Mafia Game (TWG) - White Edition,Positive,Happy,"Barang sangat berkualitas sebanding dg harga, kelengkapan banyak, sudah dapat tas, panduan yg jelas dan buku moderator tebal. Box kartu juga tebal. Mantappl",14,Good / works / authentic product,Jakarta Barat,75000,4.9,2681,1318,5
Toys and Hobbies,The Werewolf Game / Mafia Game (TWG) - White Edition,Positive,Happy,"Mantap gan, barang mendarat dengan mulus. Kartu oke. Pemerannya lengkap juga. Ada buku panduan ama buku catetan buat moderator. Makasih gan.",14,Good / works / authentic product,Jakarta Barat,75000,4.9,2681,1318,5
Toys and Hobbies,KARTU REMI POKER STARS PLASTIK ANTI AIR WATERPROOF AWET DAN TAHAN LAMA - Hitam,Positive,Happy,"enak kartunya, sesuai ekspektasi, plastik beneran. licin . dan kerasa bakal awet",2,Good / works / authentic product,Jakarta Utara,19700,4.9,2750,704,5
Toys and Hobbies,KARTU REMI POKER STARS PLASTIK ANTI AIR WATERPROOF AWET DAN TAHAN LAMA - Hitam,Positive,Happy,Barang berfungsi dengan baik. Packaging aman ??. Packaging aman ??. Barangnya original ??.,4,Safe & neat packaging,Jakarta Utara,19700,4.9,2750,704,5
Toys and Hobbies,KARTU REMI POKER STARS PLASTIK ANTI AIR WATERPROOF AWET DAN TAHAN LAMA - Hitam,Positive,Happy,bagus dan tahan lama banget,2,Good / works / authentic product,Jakarta Utara,19700,4.9,2750,704,5
